irl	naziv_ust_HR	naziv_ust_EN	ulica_br	ptt_br	naziv_mj
331	Hrvatsko katolièko sveuèilište, Zagreb	Croatian Catholic University	Ilica 242	10000	ZAGREB
332	Institut za istraživanje	Institute of Researches and Development of Defense Systems	ILICA 256B, Zagreb	10000	ZAGREB
337	Specijalna bolnica za ortopediju i opæu kirurgiju "Dr. Nemec", Matulji	Special Hospital for Orthopedics and General Surgery "Dr. Nemec"	Ul. Dalmatinskih brigada bb, Matulji	51211	MATULJI
338	Akademija tehnièkih znanosti	Croatian Academy of Engineering	Andrije Kaèiæa Miošiæa 28	10000	ZAGREB
339	Specijalna bolnica Svjetlost	University Eye Hospital Svjetlost	Heinzelova 39	10000	ZAGREB
341	InfoDom d.o.o.	InfoDom LLC for Telematics, Trade and Construction	A. Žaje 61, Zagreb	10000	ZAGREB
348	Specijalna bolnica Sv. Katarina	St. Catherine Speciality Hospital	Braèak 8	49210	ZABOK
349	Thalassoterapia Opatija	Thalassotherapia Opatija - Hospital for medical rehabiltation of patients with c...	Maršala Tita 188/1	51410	OPATIJA
351	Fakultet zdravstvenih studija u Rijeci	University of Rijeka, Faculty of Health Sciences	Viktora Cara Emina 5	51000	RIJEKA
352	Klinika za djeèje bolesti	Children s Hospital Zagreb	Klaiæeva 16	10000	ZAGREB
